"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Brunei Darussalam","BRN","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.14422519416255","1.11530023425216","1.09636392190483","1.11020848805174","1.10864042533982","1.14273063369518","1.13234961753789","1.12542159380941","1.10332749366532","1.07521574713547","1.05629952075029","1.03338857874736","0.993705435627105","0.974563045231941","0.956880222951727","0.936998024703491","0.909166955086169","0.892505382148304","0.877428579772679","0.889679485445584","0.87844755537625","0.852739404149293","0.836384855602812","0.827518348721006","0.812621946036151","0.807695381826848","0.795409634820436","0.769002844934025","0.758361901253212","",
"Bhutan","BTN","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.95989943387932","9.65150039699684","10.8647475172668","11.7358880202635","12.2375380261246","13.0339128289908","13.7757538741385","14.3378339935178","15.6120077139815","16.3131487740369","16.413217229065","16.5064731709393","16.6522893820079","16.537668824402","13.1898013435398","13.4345781389309","13.6655258644883","13.9715723987094","14.5754418255002","15.2653701068691","16.0758491290426","16.9629066317423","18.4337415602866","19.4405607039818","20.7124984182511","21.6288749473228","22.2800347803578","22.6570344060307","22.7192255247282","",
"Botswana","BWA","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.14514750919916","1.22787426518117","1.38445943721949","1.53748239036024","1.65638857932483","1.78056487446107","1.9042784146435","2.02303783179617","2.12481735111921","2.24045399837689","2.35368570928437","2.43913083051029","2.59392084458787","2.76943093279167","2.88456087560594","3.03012364123921","3.2746235329539","3.40924498185289","3.70023785955013","4.01152978777522","4.22105884323781","4.43805273882576","4.67578665585853","4.87946236980193","5.01294746721219","5.16032396304974","5.23948445486783","5.29992703544525","5.34107919089144","",
"Central African Republic","CAF","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226.300479382935","211.108855166688","202.784830067279","191.228515501903","232.161816531541","269.161184513769","271.236776330182","269.311581326744","260.195555580788","251.023403957945","250.602210994284","253.060532762237","254.918355632361","259.566091168486","247.574253110207","246.354909605313","254.6346512891","249.870717043115","262.945532660842","273.172211584907","272.777639548208","267.869100495159","277.586965714661","277.688224234708","342.342060598265","468.939194992514","","","","",
"Canada","CAN","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.293632","1.311429","1.298214","1.29231","1.280571","1.270884","1.262738","1.25794","1.264525","1.26584","1.26979","1.271808","1.287024","1.285222","1.273191","1.259993","1.287202","1.275409","1.301879","1.299714","1.295635","1.284584","1.284164","1.303071","1.311276","1.340276","1.336747","1.340062","1.350194","",
"Central Europe and the Baltics","CEB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.959456","1.996072","2.018436","2.019936","1.975827","1.958642","1.923867","1.88524","1.882544","1.884763","1.889385","1.860676","1.810614","1.813179","1.784255","1.777742","1.729841","1.662461","1.614472","1.581137","1.583003","1.537326","1.506301","1.453364","1.432765","1.413161","1.406772","1.374979","1.368242","",
"Channel Islands","CHI","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203.783176583529","238.092991823107","266.741632890918","292.070953631826","317.221614","331.148153","336.976838","343.333394","352.394578","356.207772","362.55546","372.852279","380.325811","382.441373","380.213538","387.36","338.861632","343.576453","360.717453","367.230477","373.245535","370.198737","391.572364","390.161303","410.670742","447.264857","463.366777","461.245938","462.324517","",
"China","CHN","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43788263357476","2.42201883072516","2.50018729063732","2.7833127744353","3.37057475061543","3.82911292098351","4.02932520031275","4.04699488544291","3.95432211968583","3.81542088427675","3.70362502584159","3.62773305098425","3.5449548291076","3.50535296775427","3.54452470034012","3.48911342456337","3.4358261842328","3.50143732896454","3.57178213108947","3.55842528573425","3.61217570866884","3.69611183431175","3.71603515073074","3.75838027234044","3.76945399063098","3.81909148968002","3.84694095840888","3.82671477378348","3.81297591443054","",
